`№ п/п,Наименование,Единица измерения,Цена с НДС /руб
111.           ,Конденсатор EEUFR1V681 680мкф 35,шт,45-00
112.           ,Конденсатор EEUFR1V821L 820мкф 35В,шт,65-00
113.           ,Конденсатор EEUFR1V222 2200мкф 35В,шт,80-00
114.           ,Конденсатор EEUFS1H681 680мкф 50В,шт,140-00
115.           ,Конденсатор EEUFR1H100 10мкф 50В,шт,25-00
116.           ,Конденсатор EEUFR1H220 22мкф 50В,шт,25-00
117.           ,Конденсатор EEUFS1H821L 820мкф 50В,шт,160-00
118.           ,Конденсатор EEUFR1H102B 1000мкф 50В,шт,165-00
119.           ,Конденсатор EEUFR1E470  47мкф 25В,шт,20-00
120.           ,Конденсатор EEUFR1E 151 150мкф 25В,шт,30-00
121.           ,Конденсатор EEUFR1E 331 330мкф 25В,шт,30-00
122.           ,Конденсатор EEUFR1E 471 470мкф 25В,шт,40-00
123.           ,Конденсатор EEUFR1E 821 820мкф 25В,шт,30-00
124.           ,Конденсатор EEEFK1V 221P 35В 220мкф «F»,шт,25-00
125.           ,Конденсатор EEЕFК1V680XP SMD 68мкф 35В,шт,40-00
126.           ,Конденсатор EEEFK1E 101P 100мкф 16B,шт,30-00
127.           ,"Диод BAV99,SMD,SOT-23",шт,5-00
128.           ,Транзистор BSS138 SOT23,шт,25-00
129.           ,"Микросхема MAX976ESA+,2-компаратор 20нс Ind SOB",шт,30-00
130.           ,Микросхема LM258DT SO8,шт,30-00
131.           ,Микросхема MC74HC00ADR2G,шт,50-00
132.           ,Микросхема MC74HC02ADR2G,шт,55-00
133.           ,"Микросхема TC1047AVNBTR датчик температуры 2С,12С",шт,75-00
134.           ,Микросхема PIC18F67J60-I/PT TQFP-64L,шт,500-00
135.           ,Микросхема 24AA02E48T-I/OT,шт,50-00
136.           ,Микросхема PIC16F690-I/SO,шт,230-00
137.           ,Микросхема LP2951-50DR,шт,50-00
138.           ,Микросхема MASWSS0161,шт,500-00
139.           ,Микросхема ACS712ELCTR-20A PBF ALLEGRO,шт,300-00
140.           ,Микросхема LMH0001SQ/NOPB,шт,150-00
141.           ,Индикатор ЖКИ WH1602A-YGH-CTK,шт,600-00
142.           ,Микросхема GALI-74,шт,450-00
143.           ,Транзистор IRF9540N TO-220,шт,20-00
144.           ,Микросхема LM75AD,шт,20-00
145.           ,Конденсатор EEUFS1H681,шт,170-00
146.           ,Микросхема MAX4372TEUK+T,шт,200-00
147.           ,Вентилятор JF0615B1H,шт,500-00
148.           ,Вентилятор 109P0405H3013,шт,1500-00
149.           ,Вентилятор MB40201V-A99,шт,650-00
150.           ,Вентилятор EFB0412HD,шт,800-00
151.           ,Вентилятор JF0625B1HR,шт,600-00
152.           ,Вентилятор 9G0812G1011,шт,240-00
153.           ,Вентилятор YDWF74S4-422N-350-220V,шт,8500-00
154.           ,Вентилятор 4418N,шт,3000-00
155.           ,Вентилятор RQD8025MS 12VDC,шт,100-00
156.           ,Вентилятор RQA12038HST,шт,450-00
157.           ,Вентилятор MB40201V2-A99,шт,650-00
158.           ,Микросхема MAX3238CDB,шт,400-00
159.           ,Микросхема ST232BWR,шт,40-00
160.           ,Конденсатор К50-35-16В-1мкф,шт,3-00
161.           ,"Конденсатор К50-35-16В-2,2мкф",шт,5-00
162.           ,"Конденсатор К50-35-25В-4,7мкф",шт,5-00
163.           ,Конденсатор К50-35-25В-470мкф,шт,7-00
164.           ,Конденсатор К50-35-50В-1мкф,шт,5-00
165.           ,"Конденсатор К50-35-50В-2,2мкф",шт,5-00
166.           ,"Конденсатор К50-35-50В-4,7мкф",шт,7-00
167.           ,Конденсатор К50-35-50В-47мкф,шт,7-00
168.           ,Транзистор FGH40N60UFDTU(TO-247),шт,250-00
169.           ,Транзистор STW75NF20 (TO-247),шт,200-00
170.           ,Транзистор FGW30N120HD (TO-247),шт,950-00
171.           ,Транзистор MW6S010GNR1 STYLE-1 TO-272-2,шт,1100-00
172.           ,"Диод RHRP15120, корпус ТО-220АС",шт,180-00
173.           ,Диодный мост BR256L,шт,450-00
174.           ,Разъём RJ-45 8P8C,шт,7-00
175.           ,Разъём N Straight Plug Crimp G1 (RG-58C/U) crimp /crimp Telegartner J01020A0108,шт,500-00
176.           ,"Разъём Strain Reliefs 1 (RG-58C/U) G41(0,6/2,8-4,7) RAL9005 jet black Telegartner  B00081A1272",шт,40-00
177.           ,Разъём N Panel Jack Crimp G1 (RG-58C/U) crimp /crimp Telegartner J01021A0152,шт,1100-00
178.           ,"Разъем N Panel Receptacle, female Telegartner J01021H1082",шт,600-00
179.           ,Разъем N Adaptor f-f IP68 Telegartner J01024A0004,шт,900-00
180.           ,Разъем N Adaptor m-m  Telegartner J01024J1094,шт,1100-00
181.           ,Разъем N Straight JackCrimp G1(RG-58C/U) crimp /crimp Telegartner J01021A0063,шт,1000-00
182.           ,Разъем TNC Straight JackCrimp G1(RG-58C/U) crimp /crimp Telegartner J01011A2265,шт,350-00
183.           ,Разъем TNC Adaptor f-f  Telegartner J01014A2618,шт,500-00
184.           ,Разъем BNC T Adaptor f-m-f  Telegartner J01004C0616,шт,1200-00
185.           ,SUNON MB40201VX-A99,шт,363-00
186.           ,SUNON PMD1206 PTB1-A,шт,690-00
187.           ,MB60251V1-0000-A99,шт,507-00
188.           ,PMD1206PMB1A,шт,1523-00
189.           ,PAPST 8214JN,шт,4100-00
190.           ,SunAce 109PO405H3013,шт,2340-00
191.           ,SUNON A2259-HBT,шт,8190-00
192.           ,PAPST 4314,шт,3217-00
193.           ,PAPST 8318H,шт,3744-00
194.           ,PAPST 8414N,шт,1989-00
195.           ,FQAN8NIOOC 1,шт,477-00
196.           ,G27N120BN 72A,шт,457-00
197.           ,FGH50N6S2D,шт,450-00
198.           ,SFP9520,шт,367-00
199.           ,1N5927BG,шт,60-00
200.           ,R30120G2,шт,407-00
201.           ,MUR4100ERLG,шт,55-00
202.           ,HCNW3120,шт,329-00
203.           ,SUNON PMD2408PMB1-A(2),шт,1922-00
